,titles,author,number_of_reviews,number_of_ratings,average_rating,number_of_pages,published_year,first_published,series,genres,awards,places,url
17,['Rebecca'],['Daphne du Maurier'],[29470],[523088],[4.23],[449],[2013],[1938],[0],"[['Classics', 'Fiction', 'Mystery']]","[['National Book Award for Fiction (1938)', 'Anthony Award for Best Novel of the Century (2000)']]","[['Monte Carlo', 'Cornwall, England']]",['https://www.goodreads.com/book/show/17899948-rebecca']
18,['Life of Pi'],['Yann Martel'],[48789],[1440083],[3.92],[460],[2006],[2001],[0],"[['Fiction', 'Fantasy', 'Classics']]","[['Booker Prize (2002)', 'Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction (2003)', 'Exclusive Books Boeke Prize (2003)', ""Governor General's Literary Awards / Prix littéraires du Gouverneur général Nominee for Fiction (2001)"", 'Lincoln Award Nominee (2005)', '', '', '', '', '']]","[['Pacific Ocean', 'Pondicherry', 'Toronto, Ontario', '']]",['https://www.goodreads.com/book/show/4214.Life_of_Pi']
19,['Atonement'],['Ian McEwan'],[18559],[472499],[3.91],[351],[2003],[2001],[0],"[['Fiction', 'Historical > Historical Fiction', 'Classics']]","[['Booker Prize Nominee (2001)', 'James Tait Black Memorial Prize Nominee for Fiction (2001)', 'Whitbread Award Nominee for Novel (2001)', 'WH Smith Literary Award (2002)', 'Los Angeles Times Book Prize for Fiction (2002)', '', '', '', '', '', '']]","[['England', 'France', 'London, England', '']]",['https://www.goodreads.com/book/show/6867.Atonement']
20,['The Book Thief'],['Markus Zusak'],[121479],[2062788],[4.38],[552],[2006],[2005],[0],"[['Historical > Historical Fiction', 'Fiction', 'Young Adult']]","[['National Jewish Book Award for Children’s and Young Adult Literature (2006)', ""Book Sense Book of the Year Award for Children's Literature (2007)"", 'Buxtehuder Bulle (2008)', 'Sydney Taylor Book Award for Teen Readers (2007)', 'Prijs van de Kinder- en Jeugdjury Vlaanderen (2009)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']]","[['Molching', 'Germany']]",['https://www.goodreads.com/book/show/19063.The_Book_Thief']
21,"[""One Flew Over the Cuckoo's Nest""]",['Ken Kesey'],[12428],[673567],[4.19],[325],[1963],[1962],[0],"[['Classics', 'Fiction', 'Literature']]",[None],"[['Salem, Oregon']]",['https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest']
22,['The Thirteenth Tale'],['Diane Setterfield'],[24150],[296284],[3.96],[406],[2006],[None],[0],"[['Fiction', 'Mystery', 'Historical > Historical Fiction']]","[['Dilys Award Nominee (2007)', 'ALA Alex Award (2007)', 'The Quill Award for Debut Author (2007)']]",[['Angelfield']],['https://www.goodreads.com/book/show/40440.The_Thirteenth_Tale']
23,['The Kite Runner'],['Khaled Hosseini'],[80596],[2655772],[4.31],[371],[2004],[2003],[0],"[['Fiction', 'Historical > Historical Fiction', 'Contemporary']]","[['Borders Original Voices Award for Fiction (2003)', ""Humo's Gouden Bladwijzer (2008)"", 'Exclusive Books Boeke Prize (2004)', 'ALA Alex Award (2004)', 'Puddly Award for Fiction (2006)', '', '', '']]","[['Kabul', 'Afghanistan']]",['https://www.goodreads.com/book/show/77203.The_Kite_Runner']
24,['Nineteen Minutes'],['Jodi Picoult'],[16518],[320771],[4.12],[440],[2007],[None],[0],"[['Fiction', 'Contemporary', 'Womens Fiction > Chick Lit']]","[['Iowa High School Book Award (2010)', 'Lincoln Award Nominee (2010)', 'LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']]",[['New Hampshire']],['https://www.goodreads.com/book/show/14866.Nineteen_Minutes']
25,['Breaking Dawn'],['Stephenie Meyer'],[48817],[1455746],[3.71],[756],[2008],[None],[1],"[['Young Adult', 'Fantasy', 'Romance']]","[[""Children's Choice Book Award for Teen Choice Book of the Year (2009)"", 'LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)', 'LovelyBooks Leserpreis for Romantik/Liebe/Gefühl (2009)']]","[['Forks, Washington', 'Washington (state)']]",['https://www.goodreads.com/book/show/1162543.Breaking_Dawn']
26,['A Game of Thrones'],['George R.R. Martin'],[56590],[2164527],[4.44],[835],[2005],[1996],[1],"[['Fantasy', 'Fiction', 'Fantasy > Epic Fantasy']]","[['Nebula Award Nominee for Best Novel (1997)', 'Locus Award for Best Fantasy Novel (1997)', 'World Fantasy Award Nominee for Best Novel (1997)', 'Premio Ignotus for Novela extranjera (2003)']]",[['The Lands of Ice and Fire']],['https://www.goodreads.com/book/show/13496.A_Game_of_Thrones']
