,title,author,num_reviews,num_ratings,avg_rating,num_pages,publish_year,first_published,series,genres,awards,places,url
121,A Time to Kill,John Grisham,5893,753208,4.08,515,2004,1989,1,"['Fiction', 'Mystery', 'Thriller']",,"['Clanton, Ford County, Mississippi']",https://www.goodreads.com/book/show/32542.A_Time_to_Kill
122,The Thirteenth Tale,Diane Setterfield,24065,295635,3.96,406,2006,,0,"['Fiction', 'Mystery', 'Historical > Historical Fiction']","['Dilys Award Nominee (2007)', 'ALA Alex Award (2007)', 'The Quill Award for Debut Author (2007)']",['Angelfield'],https://www.goodreads.com/book/show/40440.The_Thirteenth_Tale
123,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,14828,435971,3.83,139,2003,1886,0,"['Classics', 'Fiction', 'Horror']",['Independent Publisher Book Award (IPPY) for Audio Fiction - Abridged (1999)'],"['London, England', 'England', 'United Kingdom']",https://www.goodreads.com/book/show/51496.Dr_Jekyll_and_Mr_Hyde
124,The Complete Stories and Poems,Edgar Allan Poe,2234,236664,4.37,821,1984,1849,0,"['Classics', 'Poetry', 'Horror']",,['The United States of America'],https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems
125,The Mysterious Affair at Styles,Agatha Christie,10226,307603,3.98,121,2002,1920,1,"['Mystery', 'Fiction', 'Classics']",['Audie Award for Mystery (1997)'],"['Essex, England']",https://www.goodreads.com/book/show/16343.The_Mysterious_Affair_at_Styles
126,A Study in Scarlet,Arthur Conan Doyle,12660,369175,4.14,123,2005,1887,1,"['Classics', 'Mystery', 'Fiction']",,"['London, England', 'Utah']",https://www.goodreads.com/book/show/102868.A_Study_in_Scarlet
127,The Count of Monte Cristo,Alexandre Dumas,23948,801687,4.26,1276,2003,1844,0,"['Classics', 'Fiction', 'Historical > Historical Fiction']",,"['Marseille', 'Paris', 'France']",https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo
128,The Woman in White,Wilkie Collins,8307,143951,3.99,672,2003,1859,0,"['Classics', 'Mystery', 'Fiction']",['Audie Award for Classic (2011)'],"['Cumberland, England', 'London, England', 'Hampshire, England', '', '']",https://www.goodreads.com/book/show/5890.The_Woman_in_White
129,A is for Alibi,Sue Grafton,5072,171106,3.86,308,2005,1982,1,"['Mystery', 'Fiction', 'Mystery > Crime']",['Shamus Award Nominee for Best PI Hardcover (1983)'],"['Los Angeles, California', 'Las Vegas, Nevada', 'Santa Teresa, California']",https://www.goodreads.com/book/show/64863.A_is_for_Alibi
130,1st to Die,James Patterson,6822,315683,4.08,424,2005,2001,1,"['Mystery', 'Fiction', 'Thriller']",,"['San Francisco, California']",https://www.goodreads.com/book/show/13137.1st_to_Die
